university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
itmo,19.03.01 «Биотехнология»,2026,2026-08-08 14:32:23.907380+00:00,760,"{""by_target_quota"": 0, ""by_special_quota"": 7, ""by_unusual_quota"": null, ""general_competition"": 65, ""without_entry_tests"": null}",266.0,760
itmo,24.03.02 «Системы управления движением и навигация»,2026,2026-08-08 14:32:24.010544+00:00,878,"{""by_target_quota"": 2, ""by_special_quota"": 2, ""by_unusual_quota"": null, ""general_competition"": 15, ""without_entry_tests"": null}",282.0,878
itmo,27.03.04 «Управление в технических системах»,2026,2026-08-08 14:32:24.268911+00:00,618,"{""by_target_quota"": 0, ""by_special_quota"": 2, ""by_unusual_quota"": null, ""general_competition"": 16, ""without_entry_tests"": null}",277.0,618
itmo,27.03.05 «Инноватика»,2026,2026-08-08 14:32:24.114800+00:00,1581,"{""by_target_quota"": 0, ""by_special_quota"": 8, ""by_unusual_quota"": null, ""general_competition"": 74, ""without_entry_tests"": null}",282.0,1581
itmo,38.03.05 «Бизнес-информатика»,2026,2026-08-08 14:32:24.340113+00:00,433,"{""by_target_quota"": 2, ""by_special_quota"": 6, ""by_unusual_quota"": null, ""general_competition"": 55, ""without_entry_tests"": null}",290.0,433
itmo,45.03.04 «Интеллектуальные системы в гуманитарной сфере»,2026,2026-08-08 14:32:24.402080+00:00,334,"{""by_target_quota"": 0, ""by_special_quota"": 4, ""by_unusual_quota"": null, ""general_competition"": 35, ""without_entry_tests"": null}",,334
itmo,54.03.01 «Дизайн»,2026,2026-08-08 14:32:24.388294+00:00,80,"{""by_target_quota"": 0, ""by_special_quota"": 3, ""by_unusual_quota"": null, ""general_competition"": 25, ""without_entry_tests"": null}",278.0,80
misis,01.03.04 Прикладная математика,2026,2026-08-08 18:41:19.037723+00:00,2162,{},289.0,2162
misis,03.03.02 Физика,2026,2026-08-08 18:41:19.341923+00:00,1710,{},272.0,1710
misis,09.00.00 Информатика и вычислительная техника,2026,2026-08-08 18:41:19.507037+00:00,3143,{},280.0,3143
misis,11.03.04 Электроника и наноэлектроника,2026,2026-08-08 18:41:19.817027+00:00,1957,{},257.0,1957
misis,13.03.02 Электроэнергетика и электротехника,2026,2026-08-08 18:41:20.008878+00:00,1534,{},260.0,1534
misis,15.03.02 Технологические машины и оборудование,2026,2026-08-08 18:41:20.170849+00:00,2189,{},253.0,2189
misis,18.03.01 Химическая технология,2026,2026-08-08 18:41:20.370341+00:00,619,{},257.0,619
misis,19.03.01 Биотехнология,2026,2026-08-08 18:41:20.437132+00:00,483,{},283.0,483
misis,21.05.04 Горное дело,2026,2026-08-08 18:41:20.488177+00:00,1407,{},237.0,1407
misis,22.03.01 Материаловедение и технологии материалов,2026,2026-08-08 18:41:20.636627+00:00,1668,{},255.0,1668
misis,22.03.02 Металлургия,2026,2026-08-08 18:41:20.806844+00:00,1236,{},243.0,1236
misis,27.03.03 Системный анализ и управление,2026,2026-08-08 18:41:20.921543+00:00,1575,{},291.0,1575
misis,27.03.05 Инноватика,2026,2026-08-08 18:41:21.066408+00:00,1078,{},,1078
misis,28.00.00 Нанотехнологии и наноматериалы,2026,2026-08-08 18:41:21.174025+00:00,2109,{},259.0,2109
misis,38.00.00 Экономика и управление,2026,2026-08-08 18:41:21.340583+00:00,1184,{},273.0,1184
misis,38.03.05 Бизнес-информатика,2026,2026-08-08 18:41:21.440233+00:00,2014,{},285.0,2014
misis,45.03.02 Лингвистика,2026,2026-08-08 18:41:21.625020+00:00,260,{},271.0,260
mpei,list10bacc,2026,2026-08-08 14:33:47.469598+00:00,4581,{},,4581
mpei,list13bacc,2026,2026-08-08 14:33:47.913889+00:00,4843,{},,4843
mpei,list143bacc,2026,2026-08-08 14:33:48.374161+00:00,42,{},,42
mpei,list1441bacc,2026,2026-08-08 14:33:48.381873+00:00,3769,{},,3769
mpei,list1446bacc,2026,2026-08-08 14:33:48.712572+00:00,4095,{},,4095
mpei,list14bacc,2026,2026-08-08 14:33:49.056070+00:00,5940,{},,5940
mpei,list15bacc,2026,2026-08-08 14:33:49.556919+00:00,2290,{},,2290
